B::6D1,2794.81,2009.58,-729.04,-129.2958,89.4109,-34.1121
B::6D2,2797.31,1985.49,-729.07,-126.5689,89.4146,-31.2813
B::6D3,2800.37,1939.96,-729.03,-131.8849,89.3819,-36.5574
B::6D4,2806.38,1882.93,-729.08,-130.5895,89.3770,-35.3004
B::6D5,2813.08,1818.83,-728.93,-132.6839,89.4050,-37.4193
B::6D6,2815.81,1785.59,-728.32,-136.5115,89.4033,-41.2255
B::6D7,2820.49,1742.90,-728.48,-132.2993,89.4172,-37.0978
B::6D8,2822.18,1711.55,-728.03,-134.8546,89.4127,-39.6291
B::6D9,2827.95,1655.89,-727.77,-129.3047,89.4129,-34.1425
B::6D10,2832.26,1606.62,-727.68,-125.7775,89.4024,-30.6984
B::6D11,2836.25,1556.75,-726.67,-121.1118,89.4415,-26.0068
B::6D12,2842.07,1498.03,-726.11,-119.1332,89.4475,-24.0600
B::6D13,2847.87,1443.19,-725.64,-118.0622,89.4394,-22.9972
B::6D14,2854.09,1376.71,-724.67,-116.3225,89.4428,-21.2481
B::6D15,2859.15,1312.33,-723.87,-113.0849,89.4492,-17.9780
B::6D16,2865.62,1237.53,-723.42,-107.2005,89.4598,-12.1094
B::6D17,2870.83,1180.24,-722.86,-102.2625,89.4892,-7.2009
B::6D18,2876.78,1119.49,-723.33,-92.1657,89.4738,2.8137
B::6D19,2884.78,1029.84,-723.13,-83.5823,89.4471,11.3602
B::6D20,2889.06,986.59,-723.35,-81.4315,89.4404,13.4778
B::6D21,2894.76,923.08,-722.95,-78.3403,89.4683,16.5691
B::6D22,2898.97,873.58,-722.62,-76.3274,89.4622,18.5583
B::6D23,2904.02,825.44,-722.71,-74.7843,89.4370,20.0574
B::6D24,2908.88,767.47,-722.57,-74.6157,89.3910,20.1969
B::6D25,2912.37,711.75,-722.60,-76.7525,89.3557,18.1320
B::6D26,2916.21,659.55,-722.89,-76.6966,89.3101,18.1797
B::6D27,2918.79,627.58,-722.64,-75.3533,89.2889,19.5427
B::6D28,2924.18,569.48,-721.91,-77.2804,89.3051,17.6387
B::6D29,2930.25,506.35,-721.20,-79.4026,89.3168,15.4432
B::6D30,2935.55,451.05,-721.01,-81.0508,89.3258,13.7319
B::6D31,2942.31,380.99,-720.70,-81.7693,89.3663,12.9434
B::6D32,2948.54,310.19,-720.92,-83.1084,89.3835,11.6349
B::6D33,2954.40,248.30,-721.49,-88.0741,89.4004,6.6767
B::6D34,2961.97,172.03,-722.24,-88.7734,89.4003,5.9887
B::6D35,2968.40,101.29,-722.52,-90.8512,89.4273,3.9322
B::6D36,2976.56,18.19,-722.49,-93.3459,89.4439,1.3506
B::6D37,2983.20,-51.39,-722.10,-99.5536,89.4628,-4.8912
B::6D38,2986.15,-83.77,-722.20,-104.1274,89.4528,-9.4888
B::6D39,2993.39,-169.59,-721.82,-112.8233,89.3971,-18.2380
B::6D40,2999.05,-238.38,-721.86,-119.3266,89.3140,-24.8088
B::6D41,3004.06,-295.44,-720.94,-120.0837,89.3231,-25.6214
B::6D42,3008.97,-366.55,-719.74,-120.8655,89.3441,-26.4518
B::6D43,3013.84,-423.30,-718.74,-120.3004,89.3816,-25.8660
B::6D44,3020.21,-498.54,-718.29,-125.4616,89.4000,-31.0016
B::6D45,3025.64,-562.94,-718.13,-128.1579,89.4138,-33.7468
B::6D46,3030.76,-624.40,-718.50,-127.5636,89.4240,-33.1683
B::6D47,3035.73,-694.18,-718.73,-130.2401,89.4212,-35.9077
B::6D48,3042.02,-775.50,-719.12,-134.0051,89.4213,-39.6424
B::6D49,3047.26,-847.12,-718.96,-134.0311,89.4324,-39.7313
B::6D50,3055.37,-948.95,-717.35,-128.6210,89.5096,-34.3285
B::6D51,3065.30,-1067.68,-716.27,-115.9433,89.5331,-21.8546
B::6D52,3071.28,-1150.68,-715.05,-108.4040,89.5302,-14.3832
B::6D53,3079.57,-1277.48,-712.91,-103.4414,89.5681,-9.3866
B::6D54,3086.55,-1368.17,-712.68,-104.0023,89.5331,-10.0946
B::6D55,3092.97,-1455.66,-712.38,-97.6044,89.5322,-3.7305
B::6D56,3099.77,-1553.94,-712.31,-95.7614,89.5381,-1.9258
B::6D57,3106.60,-1657.37,-712.19,-97.4112,89.5429,-3.5906
B::6D58,3113.31,-1754.83,-712.30,-102.5432,89.4906,-8.7265
B::6D59,3120.84,-1876.15,-711.54,-119.7727,89.4545,-26.0113
B::6D60,3124.75,-1949.32,-711.13,-124.4661,89.4052,-30.6811
B::6D61,3132.35,-2044.98,-710.19,-131.7278,89.3558,-38.0502
B::6D62,3143.49,-2006.00,-710.52,-125.4536,89.3447,-35.0191
B::6D63,3160.08,-1959.74,-710.85,-116.6622,89.3366,-30.0710
B::6D64,3043.25,-1952.32,-712.51,-112.0687,89.2909,-25.5003
B::6D65,3047.85,-1888.26,-713.06,-107.7923,89.3088,-21.1558
B::6D66,3052.70,-1810.68,-713.30,-99.2473,89.3410,-12.6302
